대여일자,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리(M),이용시간(분)
202501,107,107. 수협 연남동지점,정기권,,40대,15,740.84,6.33,27323.72,146
202501,107,107. 수협 연남동지점,정기권,,50대,23,931.98,8.64,39023.79,1041
202501,107,107. 수협 연남동지점,정기권,,60대,2,22.72,0.17,733.72,12
202501,107,107. 수협 연남동지점,정기권,,기타,11,256.14,5.48,23596.68,276
202501,107,107. 수협 연남동지점,정기권,F,20대,45,1203.83,12.17,52648.82,664
202501,107,107. 수협 연남동지점,정기권,F,30대,80,3119.16,30.58,131842.94,1208
202501,107,107. 수협 연남동지점,정기권,F,40대,20,664.2,7.08,30519.19,862
202501,107,107. 수협 연남동지점,정기권,F,50대,15,520.31,5.16,22147.25,357
202501,107,107. 수협 연남동지점,정기권,F,60대,3,284.91,2.73,11794.56,81
202501,107,107. 수협 연남동지점,정기권,F,기타,10,423.38,4.48,19306.82,147
202501,107,107. 수협 연남동지점,정기권,M,20대,90,6036.01,50.5,217736.6,2243
202501,107,107. 수협 연남동지점,정기권,M,30대,132,5657.23,43.98,192713.23,2014
202501,107,107. 수협 연남동지점,정기권,M,40대,94,3641.74,29.89,128654.79,1293
202501,107,107. 수협 연남동지점,정기권,M,50대,38,3409.24,28.44,122602.67,729
202501,107,107. 수협 연남동지점,정기권,M,60대,15,693.33,5.13,22113.97,311
202501,107,107. 수협 연남동지점,정기권,M,기타,20,1365.9,10.78,46323.55,742
202501,108,108. 서교동 사거리,일일권,,20대,22,1920.38,17.69,76311.2,458
202501,108,108. 서교동 사거리,일일권,,30대,26,1240.41,11.22,48472.37,361
202501,108,108. 서교동 사거리,일일권,,40대,3,80.48,0.78,3374.79,159
202501,108,108. 서교동 사거리,일일권,,50대,1,226.99,1.7,7348.84,71
202501,108,108. 서교동 사거리,일일권,,기타,5,381.79,3.44,14832.31,265
202501,108,108. 서교동 사거리,일일권,F,20대,19,1123.19,10.87,46919.23,443
202501,108,108. 서교동 사거리,일일권,F,30대,5,241.36,2.54,10932.84,120
202501,108,108. 서교동 사거리,일일권,F,~10대,4,328.58,3.36,14449.96,127
202501,108,108. 서교동 사거리,일일권,M,20대,31,2592.95,22.93,98921.02,686
202501,108,108. 서교동 사거리,일일권,M,30대,16,1140.31,9,38758.85,290
202501,108,108. 서교동 사거리,일일권,M,40대,2,104.98,0.85,3640.39,32
202501,108,108. 서교동 사거리,일일권,M,50대,1,78.24,0.62,2670.0,38
202501,108,108. 서교동 사거리,일일권,M,60대,1,49.6,0.45,1927.08,10
202501,108,108. 서교동 사거리,일일권,M,~10대,11,1141.04,9.79,42179.89,456
202501,108,108. 서교동 사거리,일일권,M,기타,1,0,0,0.0,32
202501,108,108. 서교동 사거리,일일권(비회원),,기타,8,544.18,4.9,21140.98,375
202501,108,108. 서교동 사거리,정기권,,20대,51,2361.89,22.61,100382.77,1237
202501,108,108. 서교동 사거리,정기권,,30대,64,3813.86,35.45,154456.31,1656
202501,108,108. 서교동 사거리,정기권,,40대,9,867.45,6.78,29148.56,372
202501,108,108. 서교동 사거리,정기권,,50대,14,708.45,6.26,26965.35,263
202501,108,108. 서교동 사거리,정기권,,60대,2,30.23,0.27,1154.17,11
202501,108,108. 서교동 사거리,정기권,,기타,6,195.18,2.15,9261.16,153
202501,108,108. 서교동 사거리,정기권,F,20대,25,1130.42,12.7,54724.6,437
202501,108,108. 서교동 사거리,정기권,F,30대,24,1286.19,12.78,55152.62,666
202501,108,108. 서교동 사거리,정기권,F,40대,20,1012.72,10.91,47004.79,545
202501,108,108. 서교동 사거리,정기권,F,50대,8,619.49,6.42,27651.02,183
202501,108,108. 서교동 사거리,정기권,F,60대,2,112.64,1.01,4375.93,63
202501,108,108. 서교동 사거리,정기권,F,70대이상,1,145.59,1.38,5929.71,62
202501,108,108. 서교동 사거리,정기권,F,기타,1,40.05,0.48,2063.88,68
202501,108,108. 서교동 사거리,정기권,M,20대,82,4222.6,36.27,157115.54,2045
202501,108,108. 서교동 사거리,정기권,M,30대,92,5846.29,46.94,202183.15,2642
202501,108,108. 서교동 사거리,정기권,M,40대,47,3438.84,25.92,111712.54,1460
202501,108,108. 서교동 사거리,정기권,M,50대,36,2613.7,22.39,96425.03,1207
202501,108,108. 서교동 사거리,정기권,M,60대,11,1188.85,9.75,42047.86,243
202501,108,108. 서교동 사거리,정기권,M,~10대,4,158.21,1.41,6102.18,54
202501,108,108. 서교동 사거리,정기권,M,기타,15,733.82,6.39,27579.89,280
202501,111,111. 상수역 2번출구 앞,일일권,,20대,18,1434.13,13.38,59667.2,710
202501,111,111. 상수역 2번출구 앞,일일권,,30대,6,320.01,3.29,14179.3,109
202501,111,111. 상수역 2번출구 앞,일일권,,40대,1,386.24,1.89,8127.88,47
202501,111,111. 상수역 2번출구 앞,일일권,,~10대,1,342.35,2.87,12350.46,90
202501,111,111. 상수역 2번출구 앞,일일권,,기타,4,1027.94,9.95,42927.82,326
202501,111,111. 상수역 2번출구 앞,일일권,F,20대,17,1484.86,16.56,71384.82,524
202501,111,111. 상수역 2번출구 앞,일일권,F,30대,8,750.85,6.83,29489.89,285
202501,111,111. 상수역 2번출구 앞,일일권,F,40대,2,292.24,2.63,11353.41,92
202501,111,111. 상수역 2번출구 앞,일일권,F,50대,1,21.27,0.28,1193.51,7
202501,111,111. 상수역 2번출구 앞,일일권,F,60대,1,85.06,0.72,3112.85,42
202501,111,111. 상수역 2번출구 앞,일일권,F,~10대,2,57.04,0.67,2880.69,43
202501,111,111. 상수역 2번출구 앞,일일권,F,기타,1,48.39,0.44,1880.0,22
202501,111,111. 상수역 2번출구 앞,일일권,M,20대,48,5181.82,44.33,191084.73,1231
202501,111,111. 상수역 2번출구 앞,일일권,M,30대,12,982.73,7.31,31554.37,451
202501,111,111. 상수역 2번출구 앞,일일권,M,40대,4,250.17,2.05,8880.2,51
202501,111,111. 상수역 2번출구 앞,일일권,M,50대,3,372.68,2.94,12634.23,92
202501,111,111. 상수역 2번출구 앞,일일권,M,~10대,14,1429.7,12.35,53197.52,611
202501,111,111. 상수역 2번출구 앞,일일권,M,기타,9,1041.15,8.58,36958.22,194
202501,111,111. 상수역 2번출구 앞,일일권(비회원),,기타,15,1297.97,11.7,50426.56,639
202501,111,111. 상수역 2번출구 앞,정기권,,20대,28,2809.94,24.46,105452.35,684
202501,111,111. 상수역 2번출구 앞,정기권,,30대,48,3200.33,26.31,113327.46,1002
202501,111,111. 상수역 2번출구 앞,정기권,,40대,6,457.98,4.47,19261.84,141
202501,111,111. 상수역 2번출구 앞,정기권,,50대,13,1578.9,13.36,57579.33,477
202501,111,111. 상수역 2번출구 앞,정기권,,60대,1,48.91,0.43,1843.26,11
202501,111,111. 상수역 2번출구 앞,정기권,,기타,29,2427.82,21.64,93298.02,1616
202501,111,111. 상수역 2번출구 앞,정기권,F,20대,60,2516.24,27.18,117236.06,1405
202501,111,111. 상수역 2번출구 앞,정기권,F,30대,23,1665.43,15.84,68207.78,689
202501,111,111. 상수역 2번출구 앞,정기권,F,40대,12,776.84,7.04,30395.66,250
202501,111,111. 상수역 2번출구 앞,정기권,F,50대,7,415.62,4.2,18095.29,145
202501,111,111. 상수역 2번출구 앞,정기권,F,70대이상,1,27.4,0.27,1172.71,15
202501,111,111. 상수역 2번출구 앞,정기권,F,기타,5,161.35,1.45,6268.39,41
202501,111,111. 상수역 2번출구 앞,정기권,M,20대,105,5850.09,46.71,201368.51,1555
202501,111,111. 상수역 2번출구 앞,정기권,M,30대,79,6104.67,47.72,205543.35,2110
202501,111,111. 상수역 2번출구 앞,정기권,M,40대,44,7979.7,69.59,299878.01,1879
202501,111,111. 상수역 2번출구 앞,정기권,M,50대,19,1063.13,9.33,40190.12,388
202501,111,111. 상수역 2번출구 앞,정기권,M,60대,3,59.17,0.41,1735.81,15
202501,111,111. 상수역 2번출구 앞,정기권,M,70대이상,2,32.68,0.29,1252.14,21
202501,111,111. 상수역 2번출구 앞,정기권,M,~10대,6,296.24,2.84,12298.04,129
202501,111,111. 상수역 2번출구 앞,정기권,M,기타,12,539.34,4.77,20466.36,336
202501,113,113. 홍대입구역 2번출구 앞,일일권,,20대,39,1605.51,14.89,65281.01,540
202501,113,113. 홍대입구역 2번출구 앞,일일권,,30대,25,1346.62,10.22,43980.75,875
202501,113,113. 홍대입구역 2번출구 앞,일일권,,40대,4,100.03,0.84,3646.54,24
202501,113,113. 홍대입구역 2번출구 앞,일일권,,50대,1,45.86,0.36,1544.21,10
202501,113,113. 홍대입구역 2번출구 앞,일일권,,기타,9,888.63,9.73,41998.06,288
202501,113,113. 홍대입구역 2번출구 앞,일일권,F,20대,26,1670.77,17.08,73659.99,651
202501,113,113. 홍대입구역 2번출구 앞,일일권,F,30대,12,454.95,4.74,20438.33,160
